Title,Genres,Country,Year,Summary,Main Leads,Personal rating (out of 10),Mood Tags
My School President,"Music, Comedy, Romance",Thailand,2022,"A student leader falls for the music club president in a playful, heartfelt romance.",GeminiFourth,9.3,"musicxleadership clash, slow burn, teasing romance, pure and soft love, high school setting"
Cutie Pie,"Business, Comedy, Romance, Drama ",Thailand,2022,An arranged engagement slowly blossoms into true love.,ZeeNunew,8.9,"arranged marriage, hidden identities, slow burn, family expectations, richxrich romance"
Bed Friends,"Romance. Drama, Office",Thailand,2023,Two best friends blur the line between friendship and love. ,NetJames,9,"friends to lovers, office romance, steamy & emotional, jealousy, casual relationship to deep love"
Wandee Goodday,"Romance, Comedy,Drama",Thailand,2024,A boxer and a doctor start casual but end up truly in love.,GreatInn,9.6,"opposites attract, healing romance, boxerxdoctor, casual relationship to real love, comedy with warmth"
Vice Versa,"Fantasy, Romance, Youth, Drama",Thailand,2022,Two  strangers in new bodies discover love together. ,JimmySea,9.8,"body swap, soulmates, self-discovery, new world & identities, fated love "
Last Twilight,"Romance, Drama",Thailand,2023,A caretaker falls for a man losing his sight.,JimmySea,9.7,"caretakerxpatient, healing romance, slow burn, emotional growth, bittersweet moments"
A Boss And A Babe,"Comedy, Romance, Office, Drama",Thailand,2023,An intern falls for his charming boss. ,ForceBook,9.4,"office romance, power dynamic turned soft, flirtyxgrumpy, lighthearted comedy, self-discovery"
Only Boo,"Comedy, Romance",Thailand,2024,A junior finds love while chasing his senior's heart.,SeaKeen,10,"high school romance, sweet first love, juniorxsenior, comedy, lighthearted"
Ossan's Love Thailand,"Comedy,Business, Romance",Thailand,2025,"One man becomes the center of three unexpected confessions, turning his world upside down. ",EarthMix,10,"love triangle, comedy, workplace romance, unexpected confessions, chaotic love"
A Tale Of Thousand Stars,"Romance, Drama",Thailand,2021,A man finds love with a forest ranger after a heart transplant.,EarthMix,9,"healing romance, slow burn, cityboyxcountrysideranger, self-discovery, heartfelt & emotional"
Perfect 10 Liners,"Comedy, Romance, Youth",Thailand,2024,University mentorships spark unexpected romance among three engineering couples.,ForceBook,8.8,"university romance, mentorxjunior dynamics, multiple couples, fuffy moments, friendship & bonding"
The Boy Next World,"Thriller, Romance, Drama, Fantasy",Thailand,2025,A man meets his multiverse partner and discovers unexpected love. ,BossNoeul,9.3,"parallel universe, soulmates, fated love, mystery & discovery, emotional connection"
ThamePo: Heart That Skips a Beat,"Romance, Drama",Thailand,2024,"A documentary director falls for an idol he's filming, discovering deep love amid fame and pressure. ",WilliamEst,9.8,"idolxfilmmaker, slow burn, healing & redemption, fame vs. love struggle, emotional depth"
The Eclipse,"Mystery, Romance, Youth",Thailand,2022,A strict prefect falls for a rebellious new student. ,FIrstKhaotung,9,"enemies to lovers, school mystery, strict rules vs. rebellion, secret romance, angst"
Enchante,"Romance, Comedy, Youth",Thailand,2022,"A returning young man and his neighbor team up to uncover which suitor is truly ""Enchante"".",ForceBook,8.5,"mystery admirer, childhood friends to lovers, lighthearted romance, college setting, fluff with drama"
Dangerous Romance,"Romance, Youth, Drama",Thailand,2023,"A poor student becomes tutor to a rich bully, and friendship turns into love.",PerthChimon,9.2,"enemies to lovers, tutorxbully, class difference, emotional healing, angst"
Only Friends,"Romance, Youth, Drama",Thailand,2023,"Six friends navigate messy hookups, heartbreak, and love. ",FirstKhaotung,9,"friends with benefits, messy relationships, love & jealousy, complex friendships, mature themes"
Oxygen,"Romance, Youth, Drama",Thailand,2020,A barista's kindness helps a lonely musician rediscover his smile- and love blossoms.,NutPetch,9.5,"comforting romance, nighttime café meetings, healing love, music & creativity, soft couple"
Manner Of Death,"Thriller, Mystery, Romance",Thailand,2020,A forensic doctor and a teacher uncover the truth behind a suspicious death. ,MaxTul,9.8,"crime investigation, forensicdoctorxteacher, suspense & mystery, dark secrets, trust & betrayal"
Love Mechanics,"Romance, Youth, Drama",Thailand,2022,A drunken hookup turns two students' lives into a complicated love story.,YinWar,9.3,"one-night stand to love, complicated feelings, college romance, emotional tension, second chances"
My Stand-in,"Romance, Fantasy, Drama",Thailand,2024,A stuntman's rebirth in a new body leads him back to his love with a second chance. ,UpPoom,9,"reincarnation/new body, stand-in identity theme, emotional reunion, fame & love, second chance romance"
Top Form,"Romance, Drama",Thailand,2025,"A seasoned star teaches an inexperienced actor, sparking romance.",SmartBoom,9.6,"rivals to lovers, entertainment industry, ambition & pressure, age gap"
My Golden Blood,"Supernatural, Romance, Drama",Thailand,2025,A vampire falls for the human he's meant to protect.,JossGawin,8.9,"vampire romance, forbidden love, protection & temptation, emotional intensity"
Jack & Joker,"Action, Romance, Crime, Drama",Thailand,2024,A charming thief and a cold gangster clash and fall in love.,YinWar,9.7,"criminalxtheif pairing, enemies to lovers, heist & adrenaline, sharp tension & chemistry, stylish-cinematic visuals"
Fourever You,"Comedy, Romance, Youth",Thailand,2024,A spoiled senior and a kind student find love through a debt deal.,MaxkyBas,9,"sweet first love, emotional connection, school/family conflict, slow building trust"
Bad Guy My Boss,Romance,Thailand,2024,A tough boss and his employee develop a complicated romance.,JamesKad,9.9,"office romance, power dynamic, boss-assistant tension, toxic to soft transformation, jealousy & loyalty"
The Trainee,"Comedy, Romance, Drama ",Thailand,2024,Workplace training turns into a heartwarming romance.,OffGun,9.2,"workplace mentorship, cute & soft vibes, learning/growth, tender chemistry, adorable college romance"
Cooking Crush,"Food, Comedy, Romance",Thailand,2023,A medical student joins a cooking class and finds love.,OffGun,10,"hidden identity, humor, flirty scenes, sensual & underrated vibes"
Kidnap,"Crime, Romance, Drama",Thailand,2024,Abduction turns into a dangerous yet tender romance.,OhmLeng,9.7,"protectorxrescued dynamics, dark past, emotional rescue, suspense & guilt, redemption arc"
Monster Next Door,Romance,Thailand,2024,Neighbors turn from strangers to something more.,BigPark,8.7,"introvertxextrovert romance, neighbors-to-lovers, sticky-note communication, comfort & warmth"
4Minutes,"Action, Romance, Sci-Fi, Drama",Thailand,2024,A man with a 4-minute foresight saves lives and finds love.,BibleJes,9,"fantasy suspense, foreseeing danger, time-limit romance, emotional tension & urgency"
Love Sea,"Romance, Drama",Thailand,2024,A romance novelist meets an island dreamer and falls in love. ,FortPeat,8.7,"healing romance, island escape, slow burn, self-discovery, opposites attract"
Love Sick 2024,"Romance, Youth, Drama",Thailand,2024,Two high school boys pretend to date- but real feelings sneak in.,AlmondProgress,9.4,"high school romance, fake dating, first love, coming-of-age, emotional drama"
The Shipper,"Comedy. Fantasy, Romance, Youth",Thailand,2020,A BL-loving teen wakes up in her favorite boy's body.,FirstFluke,8.8,"body swap, comedy, BL meta, school life, friendship, unexpected romance"
Something In My Room,"Mystery, Comedy, Supernatural, Romance",Thailand,2022,Living with a ghost leads to healing and unexpected love.,NutPlan,9.5,"ghost romance, healing grief, slow connection, emotional bonding, found family vibes"
My Only 12%,"Romance, Life, Youth",Thailand,2022,Childhood friends struggle as their bond turns into first love.,SantaEarth,8.7,"childhood friends-to-lovers, tender romance, angst, self-discovery, emotional growth"
Love Syndrome III,"Romance, Drama",Thailand,2023,"A long-term couple faces amnesia, jealousy, and the struggle to rebuild love.",LongFrank,9.8,"amnesia, established couple, angst, jealousy & reconciliation, healing love"
Lovely Writer,"Comedy, Romance, Drama",Thailand,2021,A reluctant BL novelist falls for the actor cast as his lead character.,KaoUp,9.7,"industry meta, writerxactor, healthy romance, breaking BL cliches, slow burn"
Secret Crush On You,"Comedy, Romance, Youth",Thailand,2022,A quirky university junior obsesses over a senior and chaos follows.,BillySeng,9.6,"campy comedy, obsessive crush, university life, found family, over-the-top romance"
Pit Babe,"Sports, Action, Romance, Comedy",Thailand,2023,A star racer makes a risky deal with a rookie- and real love burns between them.,PavelPooh,9.5,"omegaverse, racing romance, power dynamics, passion & betrayal, multiple couples"
Why R U?,"Comedy, Romance, Life, Drama",Thailand,2020,College rivals discover their hate hides growing affection.,SaintZee,8.9,"enemies-to-lovers, college romance, slow burn, emotional healing, witty banter"
Theory Of Love,"Romance, Comedy, Youth, Drama",Thailand,2019,A film student suffers in silence as his best friend plays with his heart.,OffGun,9.8,"unrequited love, friends-to-lovers, angst, emotional growth, film school setting"
Not Me,"Action, Thriller, Mystery, Romance",Thailand,2021,"A twin impersonation leads to danger, justice, and unexpected romance.",OffGun,9.9,"undercover identity, social justice, rebel romance, action & suspense, found family"
Dark Blue Kiss,"Romance, Comedy, Youth",Thailand,2019,Two college lovers face family pressures and hidden identities.,TayNew,9.7,"hidden relationship, coming out struggles, friends-to-lovers, angst, family pressure"
Cherry Magic,"Supernatural, Romance",Thailand,2023,A man gains the power to read minds and learns his coworker secretly loves him.,TayNew,9.9,"workplace romance, magical realism, mind-reading, shyxconfident dynamics, wholesome slow burn"
Be My Favorite,"Supernatural, Life, Romance",Thailand,2023,A man travels back in time to fix his life but ends up falling for his rival.,GawinKrist,10,"time travel, second chances, fate vs. choice, rivals-to-lovers, self-discovery"
The Ex-Morning,"Comedy, Romance, Drama",Thailand,2025,Two crashed exes reunite on-air and face love's second chance.,KristSingto,9.7,"second-chance romance, exes-to-lovers, workplace tension, media spotlight, slow healing"
My Ride,"Medical, Romance, Comedy",Thailand,2022,A regular driver brightens a busy doctor's life until friendship becomes romance.,FameFluke,10,"working-class romance, doctorxdriver, slice of life, healing, slow burn"
What Zabb Man!,"Food, Romance ",Thailand,2022,A street chef and a hotheaded hotel owner clash then fall in love.,BosszoPeter,9.9,"grumpybossxsweetchef, workplace romance, foodie love, slow burn, playful teasing"
2Moons,"Comedy, Romance, Youth",Thailand,2017,"A freshman becomes campus moon to get closer to his crush, and love slowly blooms.",GodBas,8.7,"campus romance, enemies-to-lovers (teasing), popularseniorxshyjunior, multiple couple, first love"
Sunset Vibes,Romance,Thailand,2024,Mysterious visions lead an intern to the CEO he's been dreaming of.,MosBank,9.6,"dreamxreality romance, workplace romance, slow burn tension, supernatural element, longing"
Big Dragon,"Romance, Comedy, Drama",Thailand,2022,"A drunken hookup between foes turns into a messy, intense romance.",MosBank,9.7,"enemies-to-lovers, steamy obsession, college rivalry, power struggle romance, dark, intense passion"
Unforgotten Night,"Romance, Drama",Thailand,2022,A one-night stand with a mafia boss spirals into an obsessive romance.,YoonTon,9.4,"mafia romance, obsessive love, power dynamics, one-night-stand-to-relationship, dark, possessive affection"
Naughty Babe,"Business, Romance, Drama",Thailand,2023,An engaged couple rebuilds love after amnesia and emotinal betrayal.,MaxNat,9.3,"amnesia & rediscovery, contract romance, second chances, emotional healing, family and societal pressure"
The Next Prince,"Actiom, Romance, Drama",Thailand,2025,A royal competition brings a hidden heir and his protector together in destiny and love.,ZeeNunew,9.8,"royal intrigue, protectorxheir, slow-burn trust, political drama, destiny-driven romance"
Step By Step,"Business, Comedy, Romance",Thailand,2023,A strict boss and his new subordinate slowly fall in love at work.,ManBen,9.9,"workplace romance, slow burn, bossxsubordinate, emotional growth, realistic modern love"
The Middleman's Love,"Comedy, Romance",Thailand,2023,"A shy ""middleman"" steps out of the shadows when love comes knocking.",TutorYim,9.3,"office romance, olderbottomxyoungertop, self-discovery, warmth & healing, underdog finding love"
Memoir Of Rati,"Historical, Romance, Drama",Thailand,2025,A commoner returns to early 20th-century Siam and finds love in the royal court's hidden corners.,GreatInn,9.8,"historical romance, forbidden love, social class divide, poetic & atmospheric, gentle emotional bloom"
Love By Chance,"Romance, Life, Youth",Thailand,2018,A shy freshman and his protector fall into unexpected love at university.,SaintPerth,9.7,"university romance, protectorxshystudent, sweet first love, lighthearted comfort, found family vibes"
Boys In Love,"Comedy, Romance",Thailand,2025,"A studious senior tutors a playful classmate, and love blooms in their chaos.",MickLuke,8.8,"high school romance, tutoring relationship, playful teasing, ensemble couples, coming-of-age sweetness"
I Told Sunset About You,"Romance, Youth, Drama",Thailand,2020,Two high school rivals slowly reveal hidden feelings amid friendship and competition. ,BillkinKrit/BKPP,9.5,"friends-to-lovers, coming-of-age, jealousy & rivalry, self-discovery, cinematic emotional storytelling "
Destiny Seeker,"Comedy, Romance, Youth, Drama",Thailand,2023,Two engineering dorm leaders start as enemies and become soulmates. ,EarthBank,8.6,"enemies-to-lovers, dorm rivalry, university life, slow-burn affection, healthy relationship growth"
High School Frenemy,"Youth, Drama",Thailand,2024,Playful high school enemies navigate rivalry and growing affection.,SkyNani,10,"rivals-to-lovers, school romance, playful banter, growth from tension, sweet teen dynamics"
KinnPorsche,"Action. Romance, Crime, Drama",Thailand,2022,A mafia heir falls for his fearless bodyguard in a world of power and danger.,MileApo,9.9,"mafia romance & underworld politics, bodyguardxboss dynamics, steamy, high-heat chemistry, action-packed drama & danger, found family & loyalty"
